feature,korean,unit,adjustable,monotone,n_repeats,baseline_pr_auc,permuted_pr_auc_mean,permuted_pr_auc_std,pr_auc_drop_mean,pr_auc_drop_std,baseline_brier,permuted_brier_mean,permuted_brier_std,brier_increase_mean,brier_increase_std,causal,disclaimer
uv_time,UV 조사 시간,s,True,1,10,0.9436456487398928,0.8964858088015761,0.005241516294540096,0.047159839938316704,0.005241516294540092,0.10876501780586657,0.14670381453628428,0.002537350420874308,0.03793879673041769,0.002537350420874308,False,모델 민감도 분석이며 인과효과 또는 실제 공정 개선을 보장하지 않음.
head_vacuum,픽업 헤드 진공압,kPa,True,-1,10,0.9436456487398928,0.9172798617116639,0.0034426288363949317,0.026365787028228938,0.0034426288363949373,0.10876501780586657,0.13282098504870088,0.002958965621956238,0.0240559672428343,0.0029589656219562387,False,모델 민감도 분석이며 인과효과 또는 실제 공정 개선을 보장하지 않음.
pin_height,핀 상승 높이,mm,True,0,10,0.9436456487398928,0.9191126705239305,0.0020285964000632617,0.02453297821596213,0.00202859640006326,0.10876501780586657,0.14111225039836492,0.0030873342756252108,0.03234723259249836,0.003087334275625213,False,모델 민감도 분석이며 인과효과 또는 실제 공정 개선을 보장하지 않음.
pin_speed,이젝터 핀 상승 속도,mm/s,True,-1,10,0.9436456487398928,0.9225047616722268,0.002616203092037554,0.02114088706766597,0.0026162030920375778,0.10876501780586657,0.12878600618662583,0.002546210171438755,0.020020988380759254,0.0025462101714387553,False,모델 민감도 분석이며 인과효과 또는 실제 공정 개선을 보장하지 않음.
temperature,공정 온도,degC,True,0,10,0.9436456487398928,0.922757722985085,0.004200086595199912,0.020887925754807725,0.004200086595199924,0.10876501780586657,0.14002762933332352,0.004233417202051293,0.03126261152745693,0.0042334172020512964,False,모델 민감도 분석이며 인과효과 또는 실제 공정 개선을 보장하지 않음.
runtime_hours,설비 연속 가동 시간,h,False,-1,10,0.9436456487398928,0.9264027323769566,0.0023327017860502526,0.017242916362936123,0.0023327017860502613,0.10876501780586657,0.12615976693105296,0.0022951513074269646,0.01739474912518637,0.002295151307426965,False,모델 민감도 분석이며 인과효과 또는 실제 공정 개선을 보장하지 않음.
die_thickness,다이 두께,um,False,1,10,0.9436456487398928,0.9268438380157095,0.0029595472095343507,0.016801810724183342,0.002959547209534339,0.10876501780586657,0.12197672720628808,0.0019483628603444878,0.0132117094004215,0.0019483628603444844,False,모델 민감도 분석이며 인과효과 또는 실제 공정 개선을 보장하지 않음.
tape_type,다이싱 테이프 종류,-,False,0,10,0.9436456487398928,0.9280124066798571,0.0022810073230048896,0.015633242060035746,0.0022810073230048753,0.10876501780586657,0.12022487495304054,0.0013275448150061578,0.011459857147173985,0.0013275448150061573,False,모델 민감도 분석이며 인과효과 또는 실제 공정 개선을 보장하지 않음.
pin_pressure,핀 압력,N,True,1,10,0.9436456487398928,0.9285088464926113,0.0021300153542959358,0.015136802247281445,0.002130015354295972,0.10876501780586657,0.1278595768145618,0.0025408365484407853,0.019094559008695243,0.0025408365484407853,False,모델 민감도 분석이며 인과효과 또는 실제 공정 개선을 보장하지 않음.
pin_vacuum,이젝터 진공압,kPa,True,-1,10,0.9436456487398928,0.9381231204873647,0.0010626093359578702,0.005522528252528136,0.0010626093359578947,0.10876501780586657,0.1137493046280799,0.0011734010059051235,0.00498428682221333,0.0011734010059051229,False,모델 민감도 분석이며 인과효과 또는 실제 공정 개선을 보장하지 않음.
humidity,상대습도,%RH,True,-1,10,0.9436456487398928,0.9394169460245163,0.0011764239061912295,0.004228702715376564,0.0011764239061912204,0.10876501780586657,0.1134387941515902,0.0011133155933888976,0.004673776345723619,0.0011133155933888963,False,모델 민감도 분석이며 인과효과 또는 실제 공정 개선을 보장하지 않음.
uv_intensity,UV 광량,mW/cm^2,True,1,10,0.9436456487398928,0.94129368470973,0.0006196893290656356,0.0023519640301628677,0.0006196893290656416,0.10876501780586657,0.11027572367939342,0.00046365127628965986,0.0015107058735268479,0.00046365127628965824,False,모델 민감도 분석이며 인과효과 또는 실제 공정 개선을 보장하지 않음.
vacuum_status,진공 시스템 상태,kPa,False,-1,10,0.9436456487398928,0.9426327301900639,0.0006535516274467237,0.0010129185498288895,0.0006535516274467233,0.10876501780586657,0.11054032157162466,0.0005061519766469769,0.0017753037657580878,0.0005061519766469752,False,모델 민감도 분석이며 인과효과 또는 실제 공정 개선을 보장하지 않음.
