model,label,accuracy,pr_auc,roc_auc,recall,precision,f1_macro,brier,threshold,oof_pr_auc,oof_recall,oof_f1_macro,oof_brier,ece
lightgbm_monotone,LightGBM + 단조 제약 (본선 모델),0.85375,0.9436456487398928,0.903799458871956,0.933271547729379,0.8614200171086399,0.8250545769909388,0.10876501780586657,0.4779782269443743,0.9449673418999301,0.932313398238294,0.8285553481560552,0.10606454264180953,0.02665987001310274
lightgbm,LightGBM (제약 없음),0.84875,0.9414568939717878,0.8991619808630653,0.9230769230769231,0.8623376623376623,0.8205782643912729,0.11337506199495577,0.48472218120763033,0.9400718932326266,0.9244320815948076,0.8218495615365603,0.11140887503813487,0.0426056327359144
random_forest,RandomForest,0.831875,0.9325451736766046,0.8862901776899418,0.9230769230769231,0.8426395939086294,0.797275560636227,0.12263420064295026,0.49422541500467226,0.931460656549522,0.9246638850254983,0.8039730890163319,0.12289455460360293,0.04349946463405903
logreg,LogisticRegression (베이스라인),0.809375,0.9016759472323199,0.847672989314411,0.8897126969416126,0.837696335078534,0.775050417747047,0.13394937871950974,0.554960571898937,0.9126598877958194,0.9010199350950394,0.7910955155547451,0.12745547819843644,0.030524009472928687
