bin_lower,bin_upper,n,mean_predicted,observed_rate,gap
0.0,0.1,705,0.02557717642344053,0.01276595744680851,-0.01281121897663202
0.1,0.2,194,0.14752961557782757,0.07731958762886598,-0.07021002794896158
0.2,0.30000000000000004,142,0.24420044347972936,0.1056338028169014,-0.13856664066282795
0.30000000000000004,0.4,114,0.3502325147054159,0.10526315789473684,-0.24496935681067905
0.4,0.5,116,0.4491055181866055,0.41379310344827586,-0.035312414738329634
0.5,0.6000000000000001,117,0.5496649802097153,0.5641025641025641,0.014437583892848771
0.6000000000000001,0.7000000000000001,157,0.651082752935798,0.8152866242038217,0.16420387126802372
0.7000000000000001,0.8,243,0.7565998245594179,0.9053497942386831,0.14874996967926524
0.8,0.9,449,0.8583377798896832,0.9287305122494433,0.07039273235976007
0.9,1.0,2563,0.9743567896600749,0.9715177526336325,-0.0028390370264423925
